build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
121749726,dacf3288019e9f080b0137120d831161495184cd,1119,3.0,passed,531,2016-04-08 16:39:51 UTC,121749728,pull_request
121498811,bc862117d64cbb28fb9111401d731f8c7588b5d2,1119,3.0,passed,501,2016-04-07 18:18:06 UTC,121498812,pull_request
119052576,cb47a6457ff00687965708aaa9cdb00cd77d12bf,,3.0,passed,458,2016-03-28 19:12:49 UTC,119052577,push
119008136,c00680755e0301fc726367edfb9e9b7fda7a0b9d,1096,3.0,passed,429,2016-03-28 16:34:20 UTC,119008137,pull_request
118698172,b586a967a73e5979ee6759247956735ee26d5dfd,1096,3.0,passed,402,2016-03-26 16:51:22 UTC,118698174,pull_request
118635800,432f9568199bca0c419e36ed2171a7bc62c31c7d,,3.0,passed,350,2016-03-26 06:01:25 UTC,118635801,push
118603318,1c24b9e042f295041e1c838218518c9e6885986b,1092,3.0,passed,398,2016-03-26 00:16:12 UTC,118603319,pull_request
118600080,258cc10f7bc3bb8130f4a319f8a8e50eb4dd1919,,3.0,passed,408,2016-03-25 23:50:22 UTC,118600081,push
118599918,2fc89a9c7aae197a9af67459f2a5c782bd58c248,,3.0,passed,372,2016-03-25 23:49:22 UTC,118599920,push
118552566,cb38bcd58de029ba4dc127facfb167f996cef9f5,1093,3.0,passed,458,2016-03-25 19:54:31 UTC,118552567,pull_request
118525331,e635a380a2cab9a025a5accde01d98ba63ab9120,1091,3.0,passed,437,2016-03-25 17:45:47 UTC,118525332,pull_request
118524965,3c9baf615d2dc5f03802ad3b2d748663c08da2d9,1092,3.0,failed,563,2016-03-25 17:44:09 UTC,118524966,pull_request
118508548,e68db0098abf7a4decedf895aa7f7681b98257d5,,3.0,passed,379,2016-03-25 16:24:43 UTC,118508549,push
118486151,ca88afe4d7c6bc949f3743c8770b71393c8fcd0d,1091,3.0,passed,426,2016-03-25 14:41:03 UTC,118486158,pull_request
118467812,f46ff400015f80bd331830456e24a7651da65f7c,1090,3.0,passed,435,2016-03-25 12:51:57 UTC,118467813,pull_request
117043569,4d2e710411c940d6824b52b654939ef21733ec37,,master,passed,1244,2016-03-19 00:25:45 UTC,117043570,117043571,push
116993492,438710582f77f968027038b48859e680e8681666,1071,master,passed,1187,2016-03-18 19:55:28 UTC,116993493,116993494,pull_request
