tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
5885109,5885110,441,3396d6456110a7d776845f9f78c5535d557574c4,java,ok,,java-ant,"",false,,,,,,,,,"",,0
6033728,6033729,442,e0449cca5865af298f1a9a7b5fccc73cc5e9dd6b,java,ok,,java-ant,"",false,,,,,,,,,"",,0
6055227,6055228,443,b72d61bb22ff565abfcfd4dc91112878d4cccb01,java,ok,,java-ant,"",false,,,,,,,,,"",,0
6058345,6058346,444,0657300294c2aae4a52e46c663980cc269a7f003,java,ok,,java-ant,"",false,,,,,,,,,"",,0
6061744,6061745,445,a233868e44b8b6943d106d09c4b27a87893aa02f,java,ok,,java-ant,"",false,,,,,,,,,"",,0
6068656,6068657,446,11b04e81046953ea0aaac7e25324bb116efd5ec1,java,ok,,java-ant,"",false,,,,,,,,,"",,0
6097478,6097479,447,309cd042fe2445ccd3c09a2767aa13b1439e0ed1,java,ok,,java-ant,"",false,,,,,,,,,"",,0
6264170,6264171,448,8a7d9dbef75c7ab2aba72d03242803f70f5aa86f,java,ok,,java-ant,"",false,,,,,,,,,"",,0
6264219,6264220,449,4e7b9ab9357b732f95d54c1c80dfca1958523224,java,ok,,java-ant,"",false,,,,,,,,,"",,0
2798448,2798449,44,21f97a46c319174f8026bdbede71b915889826af,unknown,unknown,,plain,"",false,,,,,,,,,"",,
6266909,6266910,450,98837c22393de90b9333777f6c15131e5a1a1dde,java,broken,,java-ant,"",false,,,,,,,,,"",,0
6268068,6268069,451,db1f5b145484adeb009db94ce4d7b82316d0a4e4,java,ok,,java-ant,"",false,,,,,,,,,"",,0
6268921,6268922,452,ee32119f2a56a6a2c6dcb44bbfadc6c911c0b845,java,broken,,java-ant,"",false,,,,,,,,,"",,0
6271067,6271068,453,261f5fd474a5f61845b4349f628264ea99c60702,java,broken,,java-ant,"",false,,,,,,,,,"",,0
6271130,6271131,454,5d9b8033c277b90de203d8bbc6b5eeb63c9ae3f0,java,broken,,java-ant,"",false,,,,,,,,,"",,0
6271153,6271154,455,ee76d9e3ceff6948abc21b6802e37287654bb14b,java,broken,,java-ant,"",false,,,,,,,,,"",,0
6271409,6271410,456,9442b7bbae174ba4f38fdb0df198d0bbda05ff1c,java,broken,,java-ant,"",false,,,,,,,,,"",,0
6296657,6296658,457,c9d9cc92c7b252332b79d93902217fb12a5a27d2,java,broken,,java-ant,"",false,,,,,,,,,"",,0
6296722,6296723,458,8e1fd587959ee78115bd5e4a91526bebad87f199,java,broken,,java-ant,"",false,,,,,,,,,"",,0
